Source,NEW FORMAT,Linear A,,
HT 1,QE-RA-U,qru,,
HT 1,KI-RO,kr,,
HT 1,ZU-SU,zs,,
HT 1,DI-DI-KA-ZE,ddkz,,
HT 1,KU-[AB056]-NU,k056n,,
HT 1,A-RA-NA-RE,arnr,,
HT 2,A-KA-RU,akr,,
HT 2,KI-RE-TA-NA,krtn,,
HT 3,QE-RA-JA,qrj,,
HT 3,QE-RA-YA,qry,,
HT 3,MU-RU,mr,,
HT 3,KU-[AB056]-NU,k056n,,
HT 3,MA-DI,md,,
HT 4,RA-TI-KA-A-RE,rtar,,
HT 4,DU-RI-TE,drt,,
HT 4,PA-RE,pr,,
HT 4,TA-PI-RU-DI,tprd,,
HT 5,[A307],307,,
HT 5,MA-SI,ms,,
HT 5,WI-DU,wd,,
HT6A,KA-PA,kp,,
HT6A,TE-NI,tn,,
HT6A,DA-TA-RA,dtr,,
HT6A,PI-TA-JA,ptj,,
HT6A,PI-TA-YA,pty,,
HT6A,MA-QA,mq,,
HT6A,KI-[AB076]-DI-NE,k076dn,,
HT6A,KA-PA-QE,kpq,,
HT6A,DA-QE-RA,dqr,,
HT6A,QE-PI-TA,qpt,,
HT6B,WA-DU-NI-MI,wdnm,,
HT6B,RA-TI-SE,rts,,
HT6B,MA-RI-I-I,mr999i,,
HT6B,DU-DA-MA,ddm,,
HT6B,DA-KI,dk,,
HT6B,SA-MA,sm,,
HT6B,[AB056]-NI-DI,056nd,,
HT7A,QE-TI,qt,,
HT7A,I-RU-JA,irj,,
HT7A,I-RU-YA,iry,,
HT7A,DU-JA,dj,,
HT7A,DU-YA,dy,,
HT7A,TA-NI-TI,tnt,,
HT7A,DA-RE,dr,,
HT7A,TE-TU,tt,,
HT7A,[AB021F]-TU-NE,021tn,,
HT7A,DA-RU-[A329],dr329,,
HT8A,JE-DI-KI,jdk,,
HT8A,YE-DI-KI,ydk,,
HT8A,[AB056]-KA-RA-TI,056krt,,
HT8A,TE-[A301],t301,,
HT8A,QA-[A310]-I,q310i,,
HT8A,SI-KI-RA,skr,,
HT8A,KI-RE-TA-NA,krtn,,
HT8B,SU-[AB029]-[AB188],s029188,,
HT8B,[AB056]-[AB188],56188,,
HT8B,QA-[A310]-I,q310i,,
HT8B,KA-PA,kp,,
HT8B,PA-JA-RE,pjr,,
HT8B,PA-YA-RE,pyr,,
HT8B,[A565],565,,
HT9A,SA-RO,sr,,
HT9A,PA-DE,pd,,
HT9A,[AB076]-TU,076t,,
HT9A,DI-NA-U,dnu,,
HT9A,QE-PU,qp,,
HT9A,[A301]-DI-RA,301dr,,
HT9A,TA-I-[AB123],ti123,,
HT9A,A-RU,ar,,
HT9A,KU-RO,kr,,
HT9B,WA-JA-PI,wjp,,
HT9B,WA-YA-PI,wyp,,
HT9B,KA-[A305],k305,,
HT9B,PA-DE,pd,,
HT9B,A-SI,as,,
HT9B,[AB076]-TU,076t,,
HT9B,[A301]-DI-RA,301dr,,
HT9B,QE-PU,qp,,
HT9B,TA-I-[AB123],ti123,,
HT9B,DI-NA-U,dnu,,
HT9B,KU-RO,kr,,
HT10A,KU-NI-SU,kns,,
HT10A,SA-MA,sm,,
HT10A,DA-RE,dr,,
HT10A,U-QA-ZA,uqz,,
HT10A,[A301],301,,
HT10A,U-QA-ZA,uqz,,
HT10A,[A305]-RU,305r,,
HT10A,DA-RI-DA,drd,,
HT10A,ME-ZA,mz,,
HT10B,U-TI,ut,,
HT10B,DA-SI,ds,,
HT10B,TA-RI-NA,trn,,
HT10B,[A312]-TA,312t,,
HT10B,KA-SA-RU,ksr,,
HT10B,TA-NA-TI,tnt,,
HT11A,A-RU-RA,arr,,
HT11A,KA-RO-NA,krn,,
HT11A,A-SU-RA,asr,,
HT11A,KU-RO,kr,,
HT11B,[A100]-I,100i,,
HT11B,DE-NU,dn,,
HT11B,RU-[AB076],r076,,
HT11B,RU-ZU-NA,rzn,,
HT11B,SA-QE-RI,sqr,,
HT11B,KU-RO,kr,,
HT12,QA-TI-DA-TE,qtdt,,
HT12,QE-TU-NE,qtn,,
HT12,DA-I,di,,
HT13,KA-U-DE-TA,kudt,,
HT13,RE-ZA,rz,,
HT13,TE-TU,tt,,
HT13,TE-KI,tk,,
HT13,KU-ZU-NI,kzn,,
HT13,DA-SI-[AB118],ds118,,
HT13,I-DU-NE-SI,idns,,
HT13,KU-RO,kr,,
HT14,PU-[AB131A],p131,,
HT14,A-[AB029]-NA-DU,a029nd,,
HT15,U-[AB034]-SI,u034s,,
HT15,DU-[AB123]-A,d123a,,
HT15,KI-RO,kr,,
HT16,KA-KU-PA,kkp,,
HT16,DI-NA-U,dnu,,
HT16,SA-[AB011],s011,,
HT17,RA-[AB164]-TI,r164t,,
HT17,SA-RO,sr,,
HT17,SI-DA-RE,sdr,,
HT18,PA-SE,ps,,
HT19,SA-[AB076],s076,,
HT19,RA-[AB164]-TI,r164t,,
HT19,SA-RO,sr,,
HT19,DU-ME-DI,dmd,,
HT19,PA-RO-SU,prs,,
HT19,KU-MA-JU,kmj,,
HT19,KA-MA-YU,kumayu,,
HT19,QE-KU-RE,qkr,,
HT19,SA-RE-JU,srj,,
HT19,SA-RE-YU,sry,,
HT20,PI-TA-KE-SE,ptks,,
HT23A,KA-NA,kn,,
HT23A,SA-SA-ME,ssm,,
HT23A,KO-RU,kr,,
HT23B,NI-RA,nr,,
HT23B,[]-RI-QU-TA,xrqt,,
HT24A,KU-[AB056]-RI-JA,k056rj,,
HT24A,KU-[AB056]-RI-YA,k056ry,,
HT24A,PA-SA-RI-JA,psrj,,
HT24A,PA-SA-RI-YA,psry,,
HT24A,RU-I-KO,rik,,
HT25A,DI-NA-U,dnu,,
HT25A,RU-NI,rn,,
HT25A,U-RE-WI,urw,,
HT25A,DI-NA-U,dnu,,
HT25A,A-RI-NI-TA,arnt,,
HT25A,TU-QE-NI,tqn,,
HT25A,ZA-JU-[AB029],zj029,,
HT25A,ZA-YU-[AB029],zy029,,
HT25A,DU-RU-WI,drw,,
HT25A,I-KI-RA,ikr,,
HT26A,[A312]-TE-TE,312tt,,
HT26A,TA-TI,tt,,
HT26A,MI-KI-SE-NA,mksn,,
HT26A,U-NU,un,,
HT26B,RO-NI,rn,,
HT26B,KA-U-ZU-NI,kuzn,,
HT27A,KI-NI-TA,knt,,
HT27A,I-MI-SA-RA,imsr,,
HT27A,SA-RA-DI,srd,,
HT27A,KI-DA,kd,,
HT27A,KU-RO,kr,,
HT27b,MI-DO-[AB131A]-WA,md131w,,
HT27b,SA,s,,
HT27b,[AB131A],131,,
HT27b,[AB120],120,,
HT27b,SA,s,,
HT27b,RE,r,,
HT27b,[AB131A],131,,
HT27b,SI,s,,
HT27b,PA-SE,ps,,
HT27b,[AB131A]-WA,131w,,
HT27b,SA,s,,
HT27b,RE,r,,
HT27b,[AB131A]-[AB120],131120,,
HT27b,SA,s,,
HT27b,RE-[],rx,,
HT28a,A-SI-JA-KA,asjk,,
HT28a,A-SI-YA-KA,asyk,,
HT28a,JA-ME,jm,,
HT28a,YA-ME,ym,,
HT28a,JA-[AB021F],j021,,
HT28a,YA-[AB021F],y021,,
HT28a,[A578],278,,
HT28a,[AB120]+QE,120q,,
HT28a,[A610],610,,
HT28a,[A618],618,,
HT28a,[A302]+KI,302k,,
HT28a,[A622],622,,
HT28a,[A302]+MI,302m,,
HT28a,[A621],621,,
HT28a,[A302]+TU,302t,,
HT28a,[A7092]-SA-RYA-[A608],709sr608,,
HT28a,[A7092]-SA-RYA-[A302]+DI,709sr302d,,
HT28a,NI,n,,
HT28a,[AB131A],131,,
HT28a,[A568]-[AB131A],568131,,
HT28a,[A100]+KA-[AB131A],100k131,,
HT28a,A-RU-DA-RA,ardr,,
HT28a,[AB120],120,,
HT28a,[A304],304,,
HT28a,[A608],608,,
HT28a,[A302]+DI,302d,,
HT28a,I-TA-JA-[A608],itj608,,
HT28a,I-TA-YA-[A608],ity608,,
HT28a,I-TA-JA-[A302]+DI,itj302d,,
HT28a,I-TA-YA-[A302]+DI,ity302d,,
HT28b,A-SI-JA-KA,asjk,,
HT28b,A-SI-YA-KA,asyk,,
HT28b,U-MI,um,,
HT28b,NA-SI,ns,,
HT28b,SA-RYA-[AB120],sr120,,
HT28b,[A302]-DI,302d,,
HT28b,NI,n,,
HT28b,[AB131A],131,,
HT28b,PU-RYA,999r,,
HT28b,NI,n,,
HT28b,JA-ME,jm,,
HT28b,YA-ME,ym,,
HT28b,JA-[AB021F],j021,,
HT28b,YA-[AB021F],y021,,
HT28b,[AB131A]+DI,131d,,
HT28b,WI-DI-NA-[A302]+DI,wdn302d,,
HT28b,[AB131A],131,,
HT28b,[A359],359,,
HT29,A-MA-TA,amt999,,
HT29,PA-JA-RE-[],pjr999,,
HT29,PA-YA-RE-[],pyr999,,
HT29,DI-JA-I,dji,,
HT29,DI-YA-I,dyi,,
HT29,SA-TI-MI,stm,,
HT29,SA-PI-MI,spm,,
HT29,[]-KI-TA,999kt,,
HT29,A-RE-DA-I,ardi,,
HT29,KA-DU-MA-NE,kdmn,,
HT30,SI,s,,
HT30,SA-RYA-[A303],sr303,,
HT30,NI,n,,
HT30,[AB131A],131,,
HT30,[A615],615,,
HT30,[A302]+TA,302t,,
HT30,SA-RA-RA,srr,,
HT30,[AB023M],23,,
HT30,KI-RO-[A303],kr303,,
HT30,[AB131A],131,,
HT30,[AB023M],23,,
HT30,[]-[A302]+TA,999302t,,
HT31,TI-SA,ts,,
HT31,PU-KO,pk,,
HT31,SU-PU,sp,,
HT31,KA-RO-[AB056],kr056,,
HT31,SA-JA-MA,sjm,,
HT31,SA-YA-MA,sym,,
HT31,[]-KI-DE-MA-TI-NA,999kdmtn,,
HT31,[]-KI-DE-MA-PI-NA,999kdmpn,,
HT31,SU-NU-RA,snr,,
HT31,PA-TE-QE,ptq,,
HT32,PI,p,,
HT32,SA-RYA,sr,,
HT32,SU-RE,sr,,
HT33,SA-RYA,sr,,
HT33,E+KA,ek,,
HT33,[A341]+PI,341p,,
HT33,[AB056]+QE,056q,,
HT33,QE+[AB056],q056,,
HT34,DA-JU-TE-SI-[B259],djts259,,
HT34,DA-YU-TE-SI-[B259],dyts259,,
HT34,SA-RYA,sr,,
HT34,MI-JA-KA,mjk,,
HT34,MI-YA-KA,myk,,
HT34,KI-RO,kr,,
HT35,TI-TI-KU,ttk,,
HT35,I-KU-TA,ikt,,
HT35,MI-JA-RU,mjr,,
HT35,MI-YA-RU,myr,,
HT36,JE-DI-PI-[],jdp999,,
HT36,YE-DI-PI-[],ydp999,,
HT36,DU-ZU-WA,dzw,,
HT37,MI-JA-RE,mjr,,
HT37,MI-YA-RE,myr,,
HT37,KA-KI,kk,,
HT37,RE-SU-[],rs999,,
HT37,[]-KI-[A310]-RE,999k310r,,
HT37,KI-RO-[A353]-KI,kr353k,,
HT37,A+DI,ad,,
HT37,A+NA,an,,
HT38,A+KA,ak,,
HT38,KA+A,ka,,
HT38,KU+WA,kw,,
HT38,WA-[A312],w312,,
HT39,TA-I-[AB123],ti123,,
HT39,KU-RE-[],kr999,,
HT39,SA-MA-TI,smt,,
HT39,KU-RO,kr,,
HT40,NU-DU-[A331],nd331,,
HT40,TE-[A120],t120,,
HT40,KI-RO-TA-[A120],krt120,,
HT40,QE-TU,qt,,
