Identical match,Linear A word,Original_Word,Source,Linear A fonts
D,DA,AD,HT86a,DA
D,DA,AD,Wa 1031,DA
D,DA,ADA,HT86a,DA
D,DA,ADA,Wa 1031,DA
D,DA,DA,HT86a,DA
D,DA,DA,Wa 1031,DA
D,DA,Da,HT86a,DA
D,DA,Da,Wa 1031,DA
D,DA,Daa,HT86a,DA
D,DA,Daa,Wa 1031,DA
D,DA,Dai,HT86a,DA
D,DA,Dai,Wa 1031,DA
D,DA,De,HT86a,DA
D,DA,De,Wa 1031,DA
D,DA,aAD,HT86a,DA
D,DA,aAD,Wa 1031,DA
D,DA,aD,HT86a,DA
D,DA,aD,Wa 1031,DA
D,DA,aDA,HT86a,DA
D,DA,aDA,Wa 1031,DA
D,DA,aDa,HT86a,DA
D,DA,aDa,Wa 1031,DA
D,DA,aDi,HT86a,DA
D,DA,aDi,Wa 1031,DA
D,DI,AD,HT85b,DI
D,DI,ADA,HT85b,DI
D,DI,DA,HT85b,DI
D,DI,Da,HT85b,DI
D,DI,Daa,HT85b,DI
D,DI,Dai,HT85b,DI
D,DI,De,HT85b,DI
D,DI,aAD,HT85b,DI
D,DI,aD,HT85b,DI
D,DI,aDA,HT85b,DI
D,DI,aDa,HT85b,DI
D,DI,aDi,HT85b,DI
DD,DI-DI,DADA,ZA026a,DI-DI
DD,DI-DI,DADa,ZA026a,DI-DI
DD,DI-DI,DaD,ZA026a,DI-DI
DD,DI-DI,DaDa,ZA026a,DI-DI
DD,DI-DI,DeD,ZA026a,DI-DI
DD,DI-DI,DiD,ZA026a,DI-DI
DD,DI-DI,aDaD,ZA026a,DI-DI
Dd,DI-DI,DAd,ZA026a,DI-DI
Dd,DI-DI,Dad,ZA026a,DI-DI
Dd,DI-DI,Ded,ZA026a,DI-DI
Dd,DI-DI,DedA,ZA026a,DI-DI
Dd,DI-DI,aDd,ZA026a,DI-DI
Dd,DI-DI,iDed,ZA026a,DI-DI
Ddm,DU-DA-MA,Dedem,HT6B,DU-DA-MA
Ddmt,DA-DU-MA-TA,Dedemt,HT95a,DA-DU-MA-TA
Dk,DA-KA,Daka,Wa 1001-1005,DA-KA
Dk,DA-KI,Daka,HT6B,DA-KI
Dk,]-DU-KA-[,Daka,MI 2,]-DU-KA-[
Dm,DA-ME,DAm,HT95a,DA-ME
Dm,DA-ME,DAm,HT95b,DA-ME
Dm,DA-ME,DAma,HT95a,DA-ME
Dm,DA-ME,DAma,HT95b,DA-ME
Dm,DA-ME,DAmaa,HT95a,DA-ME
Dm,DA-ME,DAmaa,HT95b,DA-ME
Dm,DA-ME,Daam,HT95a,DA-ME
Dm,DA-ME,Daam,HT95b,DA-ME
Dm,DA-ME,Dam,HT95a,DA-ME
Dm,DA-ME,Dam,HT95b,DA-ME
Dm,DA-ME,Dem,HT95a,DA-ME
Dm,DA-ME,Dem,HT95b,DA-ME
Dmt,DA-MA-TE,Damti,KY ZA 2,DA-MA-TE
Dn,DE-NU,Dan,HT11B,DE-NU
Dn,DE-NU,Den,HT11B,DE-NU
Dn,DE-NU,Deni,HT11B,DE-NU
Dn,DE-NU,aDen,HT11B,DE-NU
Dnr,DI-NA-RO,DAnr,HT108,DI-NA-RO
Dnr,DI-NA-RO,Danr,HT108,DI-NA-RO
Dns,DA-NA-SI,Dens,HT126a,DA-NA-SI
Dr,DA-RE,DAr,HT10A,DA-RE
Dr,DA-RE,DAr,HT122b,DA-RE
Dr,DA-RE,DAr,HT7A,DA-RE
Dr,DA-RE,DAra,HT10A,DA-RE
Dr,DA-RE,DAra,HT122b,DA-RE
Dr,DA-RE,DAra,HT7A,DA-RE
Dr,DA-RE,DAraa,HT10A,DA-RE
Dr,DA-RE,DAraa,HT122b,DA-RE
Dr,DA-RE,DAraa,HT7A,DA-RE
Dr,DA-RE,Daar,HT10A,DA-RE
Dr,DA-RE,Daar,HT122b,DA-RE
Dr,DA-RE,Daar,HT7A,DA-RE
Dr,DA-RE,Dar,HT10A,DA-RE
Dr,DA-RE,Dar,HT122b,DA-RE
Dr,DA-RE,Dar,HT7A,DA-RE
Dr,DA-RE,DarA,HT10A,DA-RE
Dr,DA-RE,DarA,HT122b,DA-RE
Dr,DA-RE,DarA,HT7A,DA-RE
Dr,DA-RE,Dara,HT10A,DA-RE
Dr,DA-RE,Dara,HT122b,DA-RE
Dr,DA-RE,Dara,HT7A,DA-RE
Dr,DA-RE,Dari,HT10A,DA-RE
Dr,DA-RE,Dari,HT122b,DA-RE
Dr,DA-RE,Dari,HT7A,DA-RE
Dr,DA-RE,Der,HT10A,DA-RE
Dr,DA-RE,Der,HT122b,DA-RE
Dr,DA-RE,Der,HT7A,DA-RE
Dr,DA-RE,Dera,HT10A,DA-RE
Dr,DA-RE,Dera,HT122b,DA-RE
Dr,DA-RE,Dera,HT7A,DA-RE
Dr,DA-RE,Deri,HT10A,DA-RE
Dr,DA-RE,Deri,HT122b,DA-RE
Dr,DA-RE,Deri,HT7A,DA-RE
Dr,DA-RE,aADAr,HT10A,DA-RE
Dr,DA-RE,aADAr,HT122b,DA-RE
Dr,DA-RE,aADAr,HT7A,DA-RE
Dr,DA-RE,aDAr,HT10A,DA-RE
Dr,DA-RE,aDAr,HT122b,DA-RE
Dr,DA-RE,aDAr,HT7A,DA-RE
Dr,DU-RA,DAr,MA2a,DU-RA
Dr,DU-RA,DAra,MA2a,DU-RA
Dr,DU-RA,DAraa,MA2a,DU-RA
Dr,DU-RA,Daar,MA2a,DU-RA
Dr,DU-RA,Dar,MA2a,DU-RA
Dr,DU-RA,DarA,MA2a,DU-RA
Dr,DU-RA,Dara,MA2a,DU-RA
Dr,DU-RA,Dari,MA2a,DU-RA
Dr,DU-RA,Der,MA2a,DU-RA
Dr,DU-RA,Dera,MA2a,DU-RA
Dr,DU-RA,Deri,MA2a,DU-RA
Dr,DU-RA,aADAr,MA2a,DU-RA
Dr,DU-RA,aDAr,MA2a,DU-RA
Drd,DA-RI-DA,DArd,HT10A,DA-RI-DA
Drd,DA-RI-DA,DArd,HT85a,DA-RI-DA
Drd,DA-RI-DA,DArd,HT93a,DA-RI-DA
Drd,DA-RI-DA,Derd,HT10A,DA-RI-DA
Drd,DA-RI-DA,Derd,HT85a,DA-RI-DA
Drd,DA-RI-DA,Derd,HT93a,DA-RI-DA
Drt,DU-RI-TE,DArt,HT 4,DU-RI-TE
Drt,DU-RI-TE,Dart,HT 4,DU-RI-TE
Drt,DU-RI-TE,Derit,HT 4,DU-RI-TE
Drt,DU-RI-TE,Dert,HT 4,DU-RI-TE
Drt,DU-RI-TE,aADrt,HT 4,DU-RI-TE
Drw,DU-RU-WI,DArw,HT25A,DU-RU-WI
Drw,DU-RU-WI,Darw,HT25A,DU-RU-WI
Drw,DU-RU-WI,Deriw,HT25A,DU-RU-WI
Drw,DU-RU-WI,Derw,HT25A,DU-RU-WI
Ds,DA-SI,DAis,HT10B,DA-SI
Ds,DA-SI,DAis,HT122a,DA-SI
Ds,DA-SI,DAis,HT85a,DA-SI
Ds,DA-SI,DAs,HT10B,DA-SI
Ds,DA-SI,DAs,HT122a,DA-SI
Ds,DA-SI,DAs,HT85a,DA-SI
Ds,DA-SI,Des,HT10B,DA-SI
Ds,DA-SI,Des,HT122a,DA-SI
