Table 1
Identical Matches,Dictionary Word,Linear A word,Frequency,Percentage(%)
d,"[['ada'], '-', '-', ['da'], ['de'], ['ad'], ['da', 'di', 'du', 'dVV']]","[['DA'], '-', '-', ['DA'], ['DA'], ['DA'], ['D']]","[[2], ['-'], ['-'], [2], [2], [2], [3]]","[[[18.2], ['-'], ['-'], [18.2], [18.2], [18.2], [27.3]]]"
ts,"[['aetios'], '-', '-', ['atso'], ['aitsu'], '-', ['otis', 'tas', 'tis']]","[[']TOSA', 'TISA', 'TUSU'], '-', '-', [']TOSA', 'TISA', 'TUSU'], [']TOSA', 'TISA', 'TUSU'], '-', ['TS']]","[[1, 1, 1], ['-'], ['-'], [1, 1, 1], [1, 1, 1], ['-'], [3]]","[[[8.3, 8.3, 8.3], ['-'], ['-'], [8.3, 8.3, 8.3], [8.3, 8.3, 8.3], ['-'], [25.0]]]"
ns,"[['aineas'], '-', ['nis'], '-', ['eneusu'], ['anas'], ['nes', 'nus']]","[['NASI'], '-', ['NASI'], '-', ['NASI'], ['NASI'], ['NS']]","[[2], ['-'], [2], ['-'], [2], [2], [2]]","[[[20.0], ['-'], [20.0], ['-'], [20.0], [20.0], [20.0]]]"
tn,"[['aitne'], '-', '-', '-', '-', '-', ['tan', 'tana', 'tiin', 'tin', 'tuan', 'tuun', 'tVn']]","[['TUNE', 'TENI', 'TANI', 'TANE'], '-', '-', '-', '-', '-', ['TN']]","[[1, 1, 1, 1], ['-'], ['-'], ['-'], ['-'], ['-'], [4]]","[[[12.5, 12.5, 12.5, 12.5], ['-'], ['-'], ['-'], ['-'], ['-'], [50.0]]]"
ks,"[['akis'], '-', '-', ['kus'], '-', '-', ['kas', 'kas', 'kos', 'kos', 'kus']]","[['KASA'], '-', '-', ['KASA'], '-', '-', ['KS']]","[[1], ['-'], ['-'], [1], ['-'], ['-'], [1]]","[[[33.3], ['-'], ['-'], [33.3], ['-'], ['-'], [33.3]]]"
kk,"[['akka'], '-', '-', '-', '-', '-', ['kak', 'koko', 'kuk', 'kuk', 'kVk']]","[['KAKI', 'KAKU'], '-', '-', '-', '-', '-', ['KK']]","[[1, 1], ['-'], ['-'], ['-'], ['-'], ['-'], [2]]","[[[25.0, 25.0], ['-'], ['-'], ['-'], ['-'], ['-'], [50.0]]]"
mm,"[['ammia'], ['mema'], '-', '-', '-', ['moma'], ['mam']]","[['MAMA'], ['MAMA'], '-', '-', '-', ['MAMA'], ['MM']]","[[1], [1], ['-'], ['-'], ['-'], [1], [1]]","[[[25.0], [25.0], ['-'], ['-'], ['-'], [25.0], [25.0]]]"
t,"[['ata'], '-', '-', ['aita'], '-', ['at'], ['ta', 'te', 'ti']]","[['TE'], '-', '-', ['TE'], '-', ['TE'], ['T']]","[[6], ['-'], ['-'], [6], ['-'], [6], [11]]","[[[20.7], ['-'], ['-'], [20.7], ['-'], [20.7], [37.9]]]"
ds,"[['daos'], '-', '-', '-', '-', ['das'], ['das', 'dias']]","[['DASI'], '-', '-', '-', '-', ['DASI'], ['DS']]","[[3], ['-'], ['-'], ['-'], ['-'], [3], [4]]","[[[30.0], ['-'], ['-'], ['-'], ['-'], [30.0], [40.0]]]"
dks,"[['dauokas'], '-', '-', '-', '-', '-', '-']","[['DIKISE'], '-', '-', '-', '-', '-', '-']","[[2], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]","[[[100.0], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]]"
dwn,"[['dawon'], '-', '-', '-', '-', '-', ['dVwVn']]","[['DIWENA'], '-', '-', '-', '-', '-', ['DWN']]","[[1], ['-'], ['-'], ['-'], ['-'], ['-'], [1]]","[[[50.0], ['-'], ['-'], ['-'], ['-'], ['-'], [50.0]]]"
kdn,"[['eikadion'], '-', '-', '-', '-', '-', '-']","[['KIDINI'], '-', '-', '-', '-', '-', '-']","[[1], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]","[[[100.0], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]]"
s,"[['euios'], ['as'], '-', ['oso'], ['su'], ['as'], ['sa', 'si', 'so', 'su']]","[['SI'], ['SI'], '-', ['SI'], ['SI'], ['SI'], ['S']]","[[3], [3], ['-'], [3], [3], [3], [9]]","[[[12.5], [12.5], ['-'], [12.5], [12.5], [12.5], [37.5]]]"
kmn,"[['kamon'], '-', '-', '-', '-', '-', '-']","[['KUMINA'], '-', '-', '-', '-', '-', '-']","[[1], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]","[[[100.0], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]]"
krn,"[['kiron'], '-', '-', '-', '-', '-', ['keran']]","[['KARONA', 'KURANU'], '-', '-', '-', '-', '-', ['KRN']]","[[1, 1], ['-'], ['-'], ['-'], ['-'], ['-'], [2]]","[[[25.0, 25.0], ['-'], ['-'], ['-'], ['-'], ['-'], [50.0]]]"
krs,"[['kiros'], ['kursa'], '-', '-', '-', '-', ['kores', 'kVrVs']]","[['KIRASI'], ['KIRASI'], '-', '-', '-', '-', ['KRS']]","[[1], [1], ['-'], ['-'], ['-'], ['-'], [1]]","[[[33.3], [33.3], ['-'], ['-'], ['-'], ['-'], [33.3]]]"
