name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"HT1","Haghia Triada","Tablet","LMIB","HT Scribe 21","Portico 11 and Room 13","𐘿𐘽𐘉𐄁 𐘸𐘁𐄙𐄘𐄍 𐙀𐘲𐄖 𐘆𐘆𐘍𐘥𐄔𐄈 𐙂𐘰𐘯𐄙𐄏 𐘇𐘴𐘅𐘙𐄙𐄋","𐘿𐘽𐘉𐄁𐘸𐘁𐄙𐄘 𐄍𐙀𐘲𐄖𐘆𐘆 𐘍𐘥𐄔𐄈𐙂𐘰𐘯𐄙 𐄏𐘇𐘴𐘅𐘙𐄙𐄋","QE-RA₂-U|𐄁| |""owed""|197| |ZU-SU|70| |DI-DI-ZA-KE|52| |KU-PA₃-NU|109| |A-RA-NA-RE|105","QE-RA₂-U|𐄁| |KI-RO|197| |ZU-SU|70| |DI-DI-ZA-KE|52| |KU-PA₃-NU|109| |A-RA-NA-RE|105","𐘿𐘽𐘉|𐄁| |𐘸𐘁|𐄙𐄘𐄍| |𐙀𐘲|𐄖| |𐘆𐘆𐘍𐘥|𐄔𐄈| |𐙂𐘰𐘯|𐄙𐄏| |𐘇𐘴𐘅𐘙|𐄙𐄋"
"HT2","Haghia Triada","Tablet","LMIB","","Portico 11 and Room 13","𐘇𐘾𐘘𐄁𐜋𐄑𐝫 𐝫𐜊𐄐𐄍 𐜎𐄉𐝫 𐝫𐘸𐘙𐘳𐘅𐜋𐄔𐄊𐝫 𐝫𐜊𐄓𐄍 𐄇","𐘇𐘾𐘘𐄁𐜋𐄑𐝫 𐝫𐜊𐄐𐄍𐜎𐄉𐝫 𐝫𐘸𐘙𐘳𐘅𐜋𐄔𐄊𐝫 𐝫𐜊𐄓𐄍 𐄇","A-KA-RU|𐄁|olive oil|20| |olive oil|17| |olive oil|3| |KI-RE-TA-NA|olive oil|54| |olive oil|47| |1","A-KA-RU|𐄁|OLE+U|20| |OLE+A|17| |OLE+E|3| |KI-RE-TA-NA|OLE+U|54| |OLE+A|47| |1","𐘇𐘾𐘘|𐄁|𐜋|𐄑𐝫| |𐝫𐜊|𐄐𐄍| |𐜎|𐄉𐝫| |𐝫𐘸𐘙𐘳𐘅|𐜋|𐄔𐄊𐝫| |𐝫𐜊|𐄓𐄍| |𐄇"
"HT3","Haghia Triada","Tablet","LMIB","","Portico 11 and Room 13","𐝫 𐝫𐙁𐝫 𐝫𐘆𐘅𐝫𐄈 𐘿𐘽𐘱𐝫 𐝫𐄈 𐘆𐄈𐝫 𐝫𐄊 𐘕𐘘𐄇 𐘘𐝫 𐝫𐘤𐘹𐘽𐘙𐄋 𐘆𐝫 𐝫𐙂𐘰𐘯𐄉𐝫 𐝫𐙁𐘆𐄈𐝫 𐘀𐝫","𐝫 𐝫𐙁𐝫𐘆𐘅𐝫 𐝫𐄈𐘿𐘽𐘱𐝫 𐝫𐄈𐘆𐄈𐝫 𐄊𐘕𐘘𐄇𐘘𐝫 𐝫𐘤𐘹𐘽𐘙𐄋𐘆𐝫 𐝫𐙂𐘰𐘯𐄉𐝫 𐝫𐙁𐘆𐄈𐘀𐝫","𐝫| |MA| |DI-NA|2| |QE-RA₂-JA| |2| |DI|2| |4| |MU-RU|1| |RU| |SI-TU-RA₂-RE|5| |DI| |KU-PA₃-NU|3| |MA-DI|2| |DA","𐝫| |MA| |DI-NA|2| |QE-RA₂-JA| |2| |DI|2| |4| |MU-RU|1| |RU| |SI-TU-RA₂-RE|5| |DI| |KU-PA₃-NU|3| |MA-DI|2| |DA","𐝫| |𐝫𐙁𐝫| |𐝫𐘆𐘅𐝫|𐄈| |𐘿𐘽𐘱𐝫| |𐝫𐄈| |𐘆|𐄈𐝫| |𐝫𐄊| |𐘕𐘘|𐄇| |𐘘𐝫| |𐝫𐘤𐘹𐘽𐘙|𐄋| |𐘆𐝫| |𐝫𐙂𐘰𐘯|𐄉𐝫| |𐝫𐙁𐘆|𐄈𐝫| |𐘀𐝫"
"HT4","Haghia Triada","Tablet","LMIB","","Portico 11 and Room 13","𐝫 𐝫𐙚𐘠𐘾𐘇𐘙𐝫 𐝫𐘬𐘭𐘃𐄈 𐘂𐘙𐝫 𐝫𐘳𐘢𐘤𐘆𐄇","𐝫 𐝫𐙚𐘠𐘾𐘇𐘙 𐝫𐘬𐘭𐘃𐄈𐘂𐘙 𐝫𐘳𐘢𐘤𐘆𐄇","𐝫| |*306-TI-KA-A-RE| |DU-RI-TE|2| |PA-RE| |TA-PI-SI-DI|1","𐝫| |*306-TI-KA-A-RE| |DU-RI-TE|2| |PA-RE| |TA-PI-SI-DI|1","𐝫| |𐝫𐙚𐘠𐘾𐘇𐘙𐝫| |𐝫𐘬𐘭𐘃|𐄈| |𐘂𐘙𐝫| |𐝫𐘳𐘢𐘤𐘆|𐄇"
"HT5","Haghia Triada","Tablet","LMIB","HT Scribe 1","Portico 11 and Room 13","𐝫 𐝫𐙛𐝫 𐝫𐙁𐘤𐄒𐝫 𐝫𐘣𐘬𐄐𐝫 𐝫 𐝫","𐝫 𐝫𐙛𐝫 𐝫𐙁𐘤𐄒𐝫 𐝫𐘣𐘬𐄐𐝫 𐝫 𐝫","𐝫| |*307| |MA-SI|30| |WI-DU|10| |𐝫| |𐝫","𐝫| |*307| |MA-SI|30| |WI-DU|10| |𐝫| |𐝫","𐝫| |𐝫𐙛𐝫| |𐝫𐙁𐘤|𐄒𐝫| |𐝫𐘣𐘬|𐄐𐝫| |𐝫| |𐝫"
"HT6a","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘾𐘂𐄁 𐘀𐘳𐘴𐄁𐘃𐄁𐘝𐄐𐄋 𐘢𐘳𐘱𐄑𐄊 𐛑𐝓 𐙁𐙭𐄐 𐘵𐘽𐘆𐘗𐄈 𐘾𐘂𐘿𐄋𐝕 𐘀𐘿𐘴𐄁 𐘿𐘢𐘳𐄑𐄈𐝕 𐘝𐄐𐄋𐝆","𐘾𐘂𐄁𐘀𐘳𐘴 𐄁𐘃𐄁𐘝𐄐𐄋𐘢𐘳𐘱 𐄑𐄊𐛑𐝓𐙁𐙭 𐄐𐘵𐘽𐘆𐘗𐄈𐘾 𐘂𐘿𐄋𐝕 𐘀𐘿𐘴𐄁𐘿𐘢𐘳 𐄑𐄈𐝕𐘝𐄐𐄋𐝆","""summary account?""|𐄁| |DA-TA-RA|𐄁|TE|𐄁|figs|15| |PI-TA-JA|24| |JA+RU|𐝓| |MA-*321|10| |O-RA₂-DI-NE|2| |KA-PA-QE|5|³⁄₄| |DA-QE-RA|𐄁| |QE-PI-TA|22|³⁄₄| |figs|15|¹⁄₂","KA-PA|𐄁| |DA-TA-RA|𐄁|TE|𐄁|NI|15| |PI-TA-JA|24| |JA+RU|𐝓| |MA-*321|10| |O-RA₂-DI-NE|2| |KA-PA-QE|5|³⁄₄| |DA-QE-RA|𐄁| |QE-PI-TA|22|³⁄₄| |NI|15|¹⁄₂","𐘾𐘂|𐄁| |𐘀𐘳𐘴|𐄁|𐘃|𐄁|𐘝|𐄐𐄋| |𐘢𐘳𐘱|𐄑𐄊| |𐛑|𐝓| |𐙁𐙭|𐄐| |𐘵𐘽𐘆𐘗|𐄈| |𐘾𐘂𐘿|𐄋|𐝕| |𐘀𐘿𐘴|𐄁| |𐘿𐘢𐘳|𐄑𐄈|𐝕| |𐘝|𐄐𐄋|𐝆"
"HT6b","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘮𐘬𐘝𐘻𐄉𐝅 𐘴𐘠𐘈𐄇 𐙁𐘭𐘙𐘚𐄉 𐘬𐘀𐙁𐄕𐄌 𐘀𐘸𐄉𐝃 𐘞𐙁𐄒𐄋 𐘰𐘝𐘅𐄐𐄍𐝆","𐘮𐘬𐘝𐘻 𐄉𐝅𐝢𐘠𐘈𐄇𐙁 𐘭𐘙𐘚𐄉 𐘬𐘀𐙁𐄕𐄌 𐘀𐘸𐄉𐝃𐘞𐙁𐄒 𐄋𐘰𐘝𐘅𐄐𐄍𐝆","WA-DU-NI-MI|3|≈ ¹⁄₆| |RA-TI-SE|1| |MA-RI-RE-I|3| |DU-DA-MA|66| |DA-KI|3|¹⁄₄| |SA-MA|35| |PA₃-NI-NA|17|¹⁄₂","WA-DU-NI-MI|3|≈ ¹⁄₆| |RA-TI-SE|1| |MA-RI-RE-I|3| |DU-DA-MA|66| |DA-KI|3|¹⁄₄| |SA-MA|35| |PA₃-NI-NA|17|¹⁄₂","𐘮𐘬𐘝𐘻|𐄉|𐝅| |𐘴𐘠𐘈|𐄇| |𐙁𐘭𐘙𐘚|𐄉| |𐘬𐘀𐙁|𐄕𐄌| |𐘀𐘸|𐄉|𐝃| |𐘞𐙁|𐄒𐄋| |𐘰𐘝𐘅|𐄐𐄍|𐝆"
"HT7a","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐘿𐘠𐄁𐙇 𐘚𐘘𐘱𐄉 𐘬𐘱𐄊 𐘳𐘅𐘠𐄇 𐘀𐘙𐄇 𐘃𐘹𐄇","𐘿𐘠𐄁𐙇 𐘚𐘘𐘱𐄉 𐘬𐘱𐄊 𐘳𐘅𐘠𐄇𐘀𐘙 𐄇𐘃𐘹𐄇","QE-TI|𐄁|VIR+[?]| |I-RU-JA|3| |DU-JA|4| |TA-NA-TI|1| |DA-RE|1| |TE-TU|1","QE-TI|𐄁|VIR+[?]| |I-RU-JA|3| |DU-JA|4| |TA-NA-TI|1| |DA-RE|1| |TE-TU|1","𐘿𐘠|𐄁|𐙇| |𐘚𐘘𐘱|𐄉| |𐘬𐘱|𐄊| |𐘳𐘅𐘠|𐄇| |𐘀𐘙|𐄇| |𐘃𐘹|𐄇"
"HT7b","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐘐𐘹𐘗𐄇 𐘀𐘘𐙵𐄈","𐘐𐘹𐘗𐄇 𐘀𐘘𐙵𐄈","*21F-TU-NE|1| |DA-RU-*329|2","*21F-TU-NE|1| |DA-RU-*329|2","𐘐𐘹𐘗|𐄇| |𐘀𐘘𐙵|𐄈"
"HT8a","Haghia Triada","Tablet","LMIB","HT Scribe 2","Villa Magazine","𐘧𐘆𐜓𐄐 𐘰𐘾𐘴𐘠𐄇𐝆 𐘂𐄉𐝆 𐘃𐙕𐄈 𐘌𐙠𐘚𐝕 𐘤𐘸𐘴𐝃 𐘸𐘙𐘳𐘅𐝆","𐘧𐘆𐜓𐄐𐘰 𐘾𐘴𐘠𐄇𐝆𐘂𐄉𐝆 𐘃𐙕𐄈𐘌𐙠𐘚 𐝕𐘤𐘸𐘴𐝃 𐘸𐘙𐘳𐘅𐝆","JE-DI|olive oil|10| |PA₃-KA-RA-TI|1|¹⁄₂| |PA|3|¹⁄₂| |TE-*301|2| |QA-*310-I|³⁄₄| |SI-KI-RA|¹⁄₄| |KI-RE-TA-NA|¹⁄₂","JE-DI|OLE+KI|10| |PA₃-KA-RA-TI|1|¹⁄₂| |PA|3|¹⁄₂| |TE-*301|2| |QA-*310-I|³⁄₄| |SI-KI-RA|¹⁄₄| |KI-RE-TA-NA|¹⁄₂","𐘧𐘆|𐜓|𐄐| |𐘰𐘾𐘴𐘠|𐄇|𐝆| |𐘂|𐄉|𐝆| |𐘃𐙕|𐄈| |𐘌𐙠𐘚|𐝕| |𐘤𐘸𐘴|𐝃| |𐘸𐘙𐘳𐘅|𐝆"
