Numbered_Words,Matched_Words
056n,an
301n,an
120q,aq
056q,aq
305r,ar
999r,ar
d013,di
d056n,din
056nd,end
056nd,end
076rr,err
076t,et
312t,et
302t,et
999t,et
302m,im
999m,im
j021,ja
j345,ja
j021,je
j345,je
j021,jo
j345,jo
j021,ju
j345,ju
j047d,jud
k305,ka
k056,ka
k305,ke
k056,ke
k999t,kot
k999t,kot
k305,ku
k056,ku
k999t,kut
m131,me
m999,me
m131,me
m999,me
n120,na
n905,na
n120,ne
n905,ne
n120,ne
n905,ne
n304p,nip
n120,nu
n905,nu
p131,pa
p999,pa
p905,pa
p131,pi
p999,pi
p905,pi
q118rr,qarr
q118rr,qerr
r076,re
r076,re
r076,ri
s011,sa
s076,sa
s303,sa
s802,sa
s011,se
s076,se
s303,se
s802,se
s011,si
s076,si
s303,si
s802,si
t301,te
t120,te
t021,te
t602,te
t999,te
t123,te
t301,ti
t120,ti
t021,ti
t602,ti
t999,ti
t123,ti
076t,ut
312t,ut
302t,ut
999t,ut
