,Identical matches,Row numbers,Linear A words,Source
0,a,864,A,Wa 1147-1149
1,a,1252,A,SY ZA 12
2,ad,295,AD,HT37
3,ad,381,AD,HT85a
4,ad,407,AD,HT86a
5,ad,423,AD,HT88
6,ad,452,AD,HT92
7,ad,488,AD,HT95b
8,ad,520,AD,HT99a
9,ad,1016,AD,ZA010b
10,ak,297,AK,HT38
11,akr,8,AKR,HT 2
12,akr,402,AKR,HT86a
13,akr,410,AKR,HT86b
14,akr,922,AKR,ARKH004b 
15,am,768,AM,MA1b
16,am,984,AM,ZA007b
17,am,1263,AM,HS Zg 1
18,an,296,AN,HT37
19,ar,70,AR,HT9A
20,ar,333,AR,HT49a
21,ar,735,AR,HT141
22,ar,1293,AR[,KH 79 + 89
23,ary,553,ARY,HT109
24,ary,836,ARY,PH28a
25,as,76,AS,HT9B
26,as,374,AS,HT81
27,as,459,AS,HT93a
28,as,719,AS,HT132
29,d,396,D,HT85b
30,d,408,D,HT86a
31,d,861,D,Wa 1031
32,dd,1079,DD,ZA026a
33,dk,36,DK,HT6B
34,dk,857,DK,Wa 1001-1005
35,dk,1325,]DK[,MI 2
36,dm,482,DM,HT95a
37,dm,490,DM,HT95b
38,dn,103,DN,HT11B
39,dr,45,DR,HT7A
40,dr,85,DR,HT10A
41,dr,665,DR,HT122b
42,dr,772,DR,MA2a
43,ds,93,DS,HT10B
44,ds,384,DS,HT85a
45,ds,387,DS,HT85a
46,ds,646,DS,HT122a
47,dy,43,DY,HT7A
48,dmn,612,DMN,HT117a
49,dwn,456,DWN,HT93a
50,dwr,486,DWR,HT95a
51,dwr,493,DWR,HT95b
52,es,455,ES,HT93a
53,es,457,ES,HT93a
54,i,850,I,ZA1a
55,i,865,I,Wa 1150-1174
56,id,1034,ID,ZA011b
57,id,1101,ID,IO ZA 2
58,id,1133,ID,IO ZA 14
59,id,1204,ID,PK ZA 17
60,id,1271,ID,IO Za 2
61,iry,41,IRY,HT7A
62,is,974,IS,ZA006a
63,it,358,IT,HT62
64,it,1130,IT,IO ZA 12
65,iy,1148,IY,KN ZA 10
66,k,395,K,HT85b
67,k,869,K,Wa 1337-1470
68,k,870,K,Wa 1486-1620
69,k,897,K,KN Wc 25
70,k,1327,]K[,MI 2
71,kd,171,KD,HT27A
72,kd,659,KD,HT122a
73,kd,961,KD,ZA004a
74,kd,1055,KD,ZA015b
75,kk,291,KK,HT37
76,kk,357,KK,HT62
77,kkr,476,KKR,HT94b
78,kn,142,KN,HT23A
79,kp,22,KP,HT6A
80,kp,59,KP,HT8B
81,kp,469,KP,HT94a
82,kp,529,KP,HT102
83,kp,545,KP,HT105
84,kp,555,KP,HT110a
85,kp,734,KP,HT140
86,kp,1027,KP,ZA011a
87,kp,1041,KP,ZA014
88,kr,3,KR,HT 1
89,kr,71,KR,HT9A
90,kr,82,KR,HT9B
91,kr,101,KR,HT11A
92,kr,107,KR,HT11B
93,kr,118,KR,HT13
94,kr,123,KR,HT15
95,kr,144,KR,HT23A
96,kr,172,KR,HT27A
97,kr,281,KR,HT34
98,kr,304,KR,HT39
99,kr,320,KR,Ht46a
100,kr,340,KR,HT53b
101,kr,343,KR,HT55a
102,kr,365,KR,HT67
103,kr,368,KR,HT74
104,kr,369,KR,HT75
105,kr,434,KR,HT88
106,kr,439,KR,HT89
107,kr,468,KR,HT93b
108,kr,470,KR,HT94a
109,kr,472,KR,HT94b
110,kr,478,KR,HT94b
111,kr,505,KR,HT97a
112,kr,525,KR,HT100
113,kr,535,KR,HT102
114,kr,539,KR,HT103
115,kr,544,KR,HT104
116,kr,551,KR,HT109
117,kr,556,KR,HT110a
118,kr,593,KR,HT116b
119,kr,595,KR,HT117a
120,kr,609,KR,HT117a
121,kr,623,KR,HT118
122,kr,632,KR,HT119
123,kr,658,KR,HT122a
124,kr,666,KR,HT122b
125,kr,669,KR,HT123a
126,kr,671,KR,HT123a
127,kr,673,KR,HT123a
128,kr,675,KR,HT123a
129,kr,677,KR,HT123a
130,kr,678,KR,HT123a
131,kr,684,KR,HT123b
132,kr,685,KR,HT123b
133,kr,699,KR,HT127b
134,kr,700,KR,HT127b
135,kr,714,KR,HT130
136,kr,842,KR,PH31a
137,kr,985,KR,ZA008
138,kr,1057,KR,ZA015b
139,kr,1069,KR,ZA020
140,ks,743,KS,KE1
141,kt,360,KT,HT63
142,kt,585,KT,HT115b
143,kw,299,KW,HT38
144,ky,429,KY,HT88
