Numbered_Words,Matched_Words
s029188,shr
s029188,srr
305r,pr
r076,rm
p131,pr
p131,pl
p131,pp
131w,mw
131w,nw
302m,rm
100k131,dkm
302d,nd
sr120,srr
302d,nd
999r,pr
131d,nd
sr303,srr
999302t,kwt
999302t,lnt
341p,pp
w312,ws
k999t,kwt
k999999,kwt
k999999,kmm
056nn,nnn
056nn,nnn
w999,ws
s332999,shr
s332999,srr
056n,mn
056n,nn
sr120,srr
p131122,pjm
p131122,plh
sr122,srr
188d,nd
302m,rm
sr120,srr
n120,nw
n120,nd
n120,nn
n120,ns
sr303,srr
n999n,nnn
p999,pr
p999,pl
p999,pp
301n,mn
301n,nn
305wn171,kwnz
n905,nw
n905,nd
n905,nn
n905,ns
p905,pr
p905,pl
p905,pp
w362,ws
076rr,srr
s301r,shr
s301r,srr
k999574,kwt
k999574,kmm
p999363,pjm
p999363,plh
m131,mw
m131,mn
999m,rm
p999,pr
p999,pl
p999,pp
m999,mw
m999,mn
301w,mw
301w,nw
999999999j,trwj
