,Identical matches,Numbered_strings,Row number
0,"['khn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn']",k056n,6
1,"['dnd', 'dnd', 'hnd', 'ind']",056nd,38
2,"['ktn', 'ktn', 'btn', 'wtn', 'ytn']",021tn,47
3,"['drb', 'drb', 'drc', 'drk']",dr329,48
4,"['tb', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty']",t301,52
5,"['sab', 'sab', 'saf', 'sap', 'sar', 'sbb', 'sbh', 'sbl', 'sbn', 'sbr', 'sbt', 'sby', 'sdf', 'sdy', 'sff', 'sfh', 'sgl', 'shf', 'shh', 'shl', 'shm', 'shn', 'shr', 'sht', 'sim', 'skl', 'skn', 'skr', 'slh', 'slk', 'slm', 'slp', 'slq', 'smb', 'smf', 'smh', 'smn', 'snb', 'snh', 'snk', 'son', 'sot', 'spy', 'sqm', 'srf', 'srh', 'ssg', 'ssm', 'ssn', 'stp', 'stw', 'sty', 'sub', 'sum', 'swh', 'swk', 'swn', 'sws', 'syb', 'syf', 'syl', 'sym', 'syr']",s029188,56
6,"['tt', 'tt', 'at', 'bt', 'ct', 'et', 'ft', 'gt', 'ht', 'it', 'kt', 'lt', 'mt', 'nt', 'pt', 'qt', 'st', 'wt', 'tt', 'at', 'bt', 'ct', 'et', 'ft', 'gt', 'ht', 'it', 'kt', 'lt', 'mt', 'nt', 'pt', 'qt', 'st', 'wt']",076t,65
7,"['adr', 'adr', 'hdr', 'idr', 'kdr', 'udr', 'adr', 'hdr', 'idr', 'kdr', 'udr']",301dr,68
8,"['kt', 'kt', 'kb', 'kc', 'kd', 'kf', 'kh', 'kk', 'kl', 'km', 'kn', 'kp', 'kr', 'ks', 'kw', 'ky']",k305,74
9,"['tr', 'tr', 'kr', 'ar', 'br', 'cr', 'dr', 'er', 'fr', 'gr', 'hr', 'ir', 'lr', 'mr', 'nr', 'pr', 'qr', 'sr', 'ur', 'wr', 'yr']",305r,89
10,"['tt', 'tt', 'at', 'bt', 'ct', 'et', 'ft', 'gt', 'ht', 'it', 'kt', 'lt', 'mt', 'nt', 'pt', 'qt', 'st', 'wt']",312t,95
11,"['qi', 'qi']",100i,102
12,"['rb', 'rb', 'rc', 'rd', 'rf', 'rg', 'rh', 'rk', 'rm', 'rq', 'rs', 'rw', 'ry']",r076,104
13,"['dsr', 'dsr', 'dsr']",ds118,116
14,"['pt', 'pt', 'pr', 'pc', 'pd', 'pg', 'ph', 'pk', 'pl', 'pn', 'pq', 'ps', 'pw', 'py']",p131,119
15,"['st', 'st', 'sr', 'sb', 'sd', 'sf', 'sg', 'sh', 'sk', 'sl', 'sm', 'sn', 'sp', 'sq', 'ss', 'sw', 'sy']",s011,126
16,"['st', 'st', 'sr', 'sb', 'sd', 'sf', 'sg', 'sh', 'sk', 'sl', 'sm', 'sn', 'sp', 'sq', 'ss', 'sw', 'sy']",s076,131
17,"['tw', 'tw', 'kw', 'rw', 'pw', 'sw', 'aw', 'bw', 'cw', 'dw', 'ew', 'gw', 'hw', 'iw', 'lw', 'mw', 'nw', 'yw']",131w,182
18,"['yr', 'yr', 'yw', 'yb', 'yc', 'yd', 'yl', 'ym', 'yp', 'yr', 'yw', 'yb', 'yc', 'yd', 'yl', 'ym', 'yp']",y021,193
19,"['tq', 'tq', 'rq', 'pq', 'sq', 'aq', 'cq', 'dq', 'mq', 'qq']",120q,195
