Numbered_Words,Matched_Words
021tn,ltn
t301,tr
t301,tt
s029188,sks
s029188,srw
076t,tt
076t,nt
076t,rt
301dr,ldr
076t,tt
076t,nt
076t,rt
301dr,ldr
305r,tr
305r,fr
305r,gr
305r,nr
305r,rr
305r,sr
305r,vr
312t,tt
312t,nt
312t,rt
r076,rt
r076,rr
r076,rg
r076,ru
r076,ry
s011,sr
s011,sd
s076,sr
s076,sd
y021,yl
302m,vm
302t,tt
302t,nt
302t,rt
100k131,sks
302d,sd
302d,fd
302d,wd
sr120,srw
302d,sd
302d,fd
302d,wd
999r,tr
999r,fr
999r,gr
999r,nr
999r,rr
999r,sr
999r,vr
y021,yl
131d,sd
131d,fd
131d,wd
sr303,srw
302t,tt
302t,nt
302t,rt
999302t,bst
999302t,vnt
999302t,wst
w312,wd
t120,tr
t120,tt
999sr,tsr
999uk,vuk
k999999,kts
012t999,ltn
012t999,kts
012t999,fts
012t999,gts
012t999,its
012t999,nts
012t999,vtr
012t999,yts
w999,wd
s332999,sks
s332999,srw
t301,tr
t301,tt
056n,bn
056n,gn
056n,ln
056n,mn
056n,vn
012tn,ltn
y345,yl
999t,tt
999t,nt
999t,rt
sr120,srw
999t,tt
999t,nt
999t,rt
sr122,srw
188d,sd
188d,fd
188d,wd
302u,ru
302u,bu
302m,vm
sr120,srw
t021,tr
t021,tt
n120,nt
n120,nr
sr303,srw
s303,sr
s303,sd
t120,tr
t120,tt
t709310,tsr
t709310,trr
t602,tr
t602,tt
ys999,ysk
999dr,ldr
301n,bn
301n,gn
301n,ln
301n,mn
301n,vn
t999,tr
t999,tt
n905,nt
n905,nr
s802,sr
s802,sd
w362,wd
076rr,trr
k999574,kts
m131,mn
t123,tr
t123,tt
999m,vm
m999,mn
999t,tt
999t,nt
999t,rt
yt321,yts
