Sign_Code,Meaning,Category,Context
AB171,Liquid Storage Vessel,Logogram,Administrative/Inventory
A301,Ritual Libation Vessel,Votive,Religious/Sanctuary
AB056,Transaction Total / Balance,Functional,Accounting
AB120,Barley / Cereal Grain,Commodity,Rations/Payment
AB122,Olives / Olive Oil,Commodity,Agricultural Export
AB131,Wine,Commodity,Palatial Distribution
AB30,Figs,Commodity,Food Rations
AB80,Year / Current Cycle,Temporal,Dating/Cycles
AB08,Double Axe (Authority),Ideogram,Religious/Political
A302,Tripod Cauldron,Logogram,Elite Wealth
AB67,Official/Inspector Title,Personnel,Supervisory Role
AB04,Personnel / Man,Personnel,Labor Tracking
AB31,Linen / Flax,Commodity,Textile Industry
AB01,Administrative Prefix,Functional,Header/Title
